tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
296,56,5,SPNG,-720.0,-720.0,332.09,400.71
296,56,5,SMMR,-3352.0,-3352.0,-417.77,301.75
296,56,5,ATMN,873.0,873.0,-157.93,278.38
296,56,5,WNTR,-1260.0,-1260.0,-107.79,910.48
297,57,5,SPNG,-720.0,0.0,152.09,400.71
297,57,5,SMMR,-3352.0,0.0,-183.13,301.75
297,57,5,ATMN,873.0,0.0,-157.93,278.38
297,57,5,WNTR,-1260.0,0.0,106.41,910.48
298,58,5,SPNG,-720.0,0.0,-99.91,400.71
298,58,5,SMMR,-3352.0,0.0,85.03,301.75
298,58,5,ATMN,873.0,0.0,-219.04,278.38
298,58,5,WNTR,-1260.0,0.0,18.21,910.48
299,59,5,SPNG,-720.0,0.0,94.49,400.71
299,59,5,SMMR,-3352.0,0.0,-451.29,301.75
299,59,5,ATMN,873.0,0.0,-219.04,278.38
299,59,5,WNTR,-1260.0,0.0,30.81,910.48
300,0,6,SPNG,-720.0,0.0,202.49,400.71
300,0,6,SMMR,-3352.0,0.0,-317.21,301.75
300,0,6,ATMN,873.0,0.0,-219.04,278.38
300,0,6,WNTR,-1260.0,0.0,30.81,910.48
