tick,second_in_day,day,ticker,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,bid_total_size,ask_total_size,imbalance
168,48,3,WNTR,26.30,625.0,26.25,31228.0,26.25,99400.0,26.23,109500.0,26.22,3576.0,26.33,17700.0,26.48,3226.0,26.59,34088.0,26.63,118900.0,26.63,131400.0,244329.0,305314.0,-0.1110
168,48,3,SMMR,25.36,2589.0,25.32,105991.0,25.32,139500.0,25.32,1800.0,25.30,720.0,25.45,51623.0,25.47,2689.0,25.49,131900.0,25.50,113800.0,25.51,20533.0,250600.0,320545.0,-0.1225
168,48,3,ATMN,25.93,96200.0,25.87,103900.0,25.68,442.0,25.68,5183.0,25.61,1200.0,25.95,95300.0,25.97,29488.0,26.09,100900.0,26.15,31348.0,26.20,89700.0,206925.0,346736.0,-0.2525
168,48,3,SPNG,23.93,800.0,23.93,107900.0,23.91,137600.0,23.90,320.0,23.84,5139.0,24.13,65982.0,24.17,382.0,24.27,100549.0,24.27,382.0,24.28,130200.0,251759.0,297495.0,-0.0833
171,51,3,WNTR,26.51,3374.0,26.38,3185.0,26.36,3576.0,26.30,625.0,26.25,31228.0,26.54,109400.0,26.54,128800.0,26.59,34088.0,26.60,91600.0,26.62,132200.0,41988.0,496088.0,-0.8439
171,51,3,SMMR,25.33,3068.0,25.32,105991.0,25.32,139500.0,25.32,1800.0,25.30,720.0,25.34,128161.0,25.39,16100.0,25.41,106300.0,25.44,3226.0,25.45,51623.0,251079.0,305410.0,-0.0976
171,51,3,ATMN,26.07,9363.0,25.71,5625.0,25.61,5625.0,25.57,78713.0,25.57,108300.0,26.08,119600.0,26.08,84800.0,26.09,100900.0,26.12,3226.0,26.12,92300.0,207626.0,400826.0,-0.3175
171,51,3,SPNG,24.21,146522.0,23.83,3581.0,23.81,5486.0,23.81,139.0,23.77,86690.0,24.26,139.0,24.27,88658.0,24.28,130200.0,24.30,2751.0,24.33,107600.0,242418.0,329348.0,-0.1520
174,54,3,WNTR,26.29,106700.0,26.25,31228.0,26.25,99400.0,26.25,3287.0,26.24,3626.0,26.30,32774.0,26.38,106200.0,26.46,3226.0,26.48,102826.0,26.54,109400.0,244241.0,354426.0,-0.1841
174,54,3,SMMR,25.33,3166.0,25.32,104891.0,25.28,99600.0,25.28,97400.0,25.25,110700.0,25.34,119961.0,25.46,121700.0,25.49,47149.0,25.50,113800.0,25.50,104400.0,415757.0,507010.0,-0.0989
174,54,3,ATMN,25.85,99800.0,25.68,5625.0,25.66,88.0,25.58,5625.0,25.57,93563.0,25.98,3226.0,25.99,18600.0,26.06,5625.0,26.08,31737.0,26.08,84800.0,204701.0,143988.0,0.1741
174,54,3,SPNG,23.81,5625.0,23.71,3253.0,23.71,139.0,23.66,83407.0,23.65,129600.0,23.82,3600.0,24.08,3579.0,24.27,2754.0,24.33,78118.0,24.34,111600.0,222024.0,199651.0,0.0531
177,57,3,WNTR,26.23,38691.0,26.20,120600.0,26.18,129500.0,26.17,83425.0,26.13,119800.0,26.48,42326.0,26.54,109400.0,26.54,128800.0,26.59,34088.0,26.60,91600.0,492016.0,406214.0,0.0955
