tick,second_in_day,day,ticker,bid,ask,mid,spread,last_price,volume
1,1,1,SPNG,24.93,24.99,24.9600,0.0600,25.00,56250.0
1,1,1,SMMR,24.95,25.03,24.9900,0.0800,24.95,0
1,1,1,ATMN,24.80,24.81,24.8050,0.0100,24.89,112250.0
1,1,1,WNTR,24.96,24.97,24.9650,0.0100,24.98,0
2,2,1,SPNG,24.93,24.99,24.9600,0.0600,25.00,61875.0
2,2,1,SMMR,24.95,25.03,24.9900,0.0800,24.95,98400.0
2,2,1,ATMN,24.80,24.81,24.8050,0.0100,24.89,112250.0
2,2,1,WNTR,24.96,24.97,24.9650,0.0100,24.96,181600.0
3,3,1,SPNG,24.76,25.03,24.8950,0.2700,25.03,452275.0
3,3,1,SMMR,24.97,25.09,25.0300,0.1200,25.09,203500.0
3,3,1,ATMN,25.15,25.16,25.1550,0.0100,25.07,247450.0
3,3,1,WNTR,24.95,24.99,24.9700,0.0400,25.01,400900.0
4,4,1,SPNG,24.84,24.90,24.8700,0.0600,25.04,546675.0
4,4,1,SMMR,25.01,25.10,25.0550,0.0900,25.10,438100.0
4,4,1,ATMN,24.98,25.16,25.0700,0.1800,24.98,371710.0
4,4,1,WNTR,24.95,24.99,24.9700,0.0400,24.99,483600.0
5,5,1,SPNG,24.74,24.93,24.8350,0.1900,24.68,679821.0
5,5,1,SMMR,25.09,25.10,25.0950,0.0100,25.07,537783.0
5,5,1,ATMN,24.70,24.98,24.8400,0.2800,24.98,634983.0
5,5,1,WNTR,24.91,24.97,24.9400,0.0600,24.91,606400.0
6,6,1,SPNG,24.90,25.04,24.9700,0.1400,25.04,745721.0
6,6,1,SMMR,25.01,25.05,25.0300,0.0400,25.10,770183.0
6,6,1,ATMN,24.78,25.29,25.0350,0.5100,25.29,913010.0
6,6,1,WNTR,24.93,24.97,24.9500,0.0400,24.97,689400.0
7,7,1,SPNG,25.00,25.02,25.0100,0.0200,25.06,866121.0
7,7,1,SMMR,24.95,24.96,24.9550,0.0100,25.10,884683.0
7,7,1,ATMN,25.24,25.29,25.2650,0.0500,25.24,928445.0
